image_id,references,original,fast_x2,sharp_anime_x4,general_x4plus,auto_vehicle_x4
jxie_flickr8k_770,"[""A group of people on skis with two dogs ."", ""A man dressed in a horned hat poses for a picture on skis with three other people and a dog ."", ""Four people holding each others shoulders with a brown dog in front of them , standing on snow ."", ""People dressed in costumes are on skis ."", ""People , some dressed in costumes , and dogs on a snowy mountain .""]",a group of people posing for a picture with their dogs.,a group of people posing for a picture with their dog.,a group of people posing for a picture with their dog.,a group of people posing for a picture with their dog.,a group of people posing for a picture with their dog.
jxie_flickr8k_630,"[""A child and her mother are playing ball in a park ."", ""A little girl with a hat playing ball with her mom ."", ""A young asian girl with a woman plays with a blue ball in a part setting ."", ""A young woman and her daughter play with a blue and white beach ball in the grass ."", ""Girl with tan dress and a hat with woman in a grey top with blue ball on ground .""]",a woman and a child playing with a ball in a park.,a woman and a child playing with a ball in the park.,a woman and a child playing with a ball in a park.,a woman holding a child ' s hand while walking in a park.,a woman holding a child ' s hand while walking in a park.
jxie_flickr8k_940,"[""Four children on stools in a diner ."", ""Four children sit on tall bar stools at a yellow and grey bar ."", ""Four small children sit on tall stools at a restaurant bar ."", ""Four young children sitting on large bar stools next to a counter ."", ""Four young kids are sitting on large stools at a bar waiting for drinks""]",children playing games on a bar.,children playing games at a bar,children playing games at a bar,children playing games in a bar,children playing games in a bar
jxie_flickr8k_797,"[""Two girls in karate uniforms struggle in a dojo ."", ""Two little girls are dressed in white karate uniforms ."", ""Two little girls practice martial arts ."", ""Two little girls spar in a Karate bout ."", ""Two young girls sparring in white martial arts outfits while a third person watches from the side .""]",a young girl in white kimonos,a girl in white,a young girl practicing karate,a girl in white,a girl in white
jxie_flickr8k_496,"[""a man looks through his binoculars while another man holds a drink ."", ""A man with a thermos is standing next to a man who is gazing through binoculars ."", ""Two men are standing together while one looks through binoculars ."", ""Two men look out as one is holding binoculars ."", ""two people standing next to each other with mountains in the distance .""]",a man taking a picture of himself with a camera,a man holding binoculars to a camera.,a man holds binoculars to a camera while standing on a beach.,a man holding binoculars while looking at the camera.,a man holding binoculars while looking at the camera.
jxie_flickr8k_924,"[""Two boys in a field kicking a soccer ball ."", ""Two children are playing with a soccer ball on grass ."", ""Two children playing with a ball on the grass ."", ""Two children play soccer in the park ."", ""Two little boys are playing outside with their soccer ball on the green grass .""]",a group of people playing soccer in a park.,a group of people playing soccer in a park.,a couple of people playing a game of golf,a tree in the background,a tree in the background
jxie_flickr8k_369,"[""A man racing an orange motorcycle ."", ""A man riding an orange and white motorcycle ."", ""A motorcyclist races around a track ."", ""An orange and white motorcycle is being ridden on a racetrack ."", ""Someone is driving an orange motorbike along pavement .""]",a person riding a motorcycle on a track.,a person riding a motorcycle on a track.,a person riding a motorcycle on a track.,a person riding a motorcycle on a track.,a person riding a motorcycle on a track.
jxie_flickr8k_596,"[""A black dog paddles behind a black cat in a body of water ."", ""A dog and a cat are swimming in a swimming pool ."", ""Two black dogs are dog paddling in a sparkling blue pool ."", ""Two black dogs are swimming in a pool ."", ""Two dogs swimming in a pool .""]",a dog swimming in a pool.,a dog swimming in a pool,a dog swimming in a pool,a dog swimming in a pool,a dog swimming in a pool
jxie_flickr8k_720,"[""A girl 's hands , another person 's feet , and a boy playing bongo drums sit on a picnic table ."", ""A picture of a group of peoples ' feet ."", ""The legs and feet of people sitting on a wooden table , two cameras and cigarettes on it ."", ""Three people are sitting on a picnic table along with two cameras and a drum ."", ""Three people sit on a bench .""]",a person sitting on a bench with a camera on it.,a person sitting on a bench,a person sitting on a bench with a camera,a person sitting on a bench with a camera and a camera.,a person sitting on a bench with a camera and a camera.
jxie_flickr8k_53,"[""A couple is walking down the sidewalk ."", ""A couple walks down a city street holding hands ."", ""The Asian girl wearing a pink and black striped top is walking next to the girl in the grey top ."", ""Two students walk down a street , holding hands ."", ""Two women are walking casually down the street together .""]",two girls walking down the street,two girls walking down the street,two girls walking down the street,two girls walking down the street,two girls walking down the street
jxie_flickr8k_426,"[""A boy tries to throw water on another person with his water bottle ."", ""A boy wearing a red shirt is splashing water on a woman 's legs ."", ""A boy with a bottle plays with an older girl ."", ""A young boy splashing an older person with a bottle of water"", ""The laughing boy holds a water bottle while a lady with wet pants walks nearby .""]",a young boy playing with a water bottle,a young boy holding a water bottle.,a young boy with a water bottle.,a young boy with a bottle of water.,a young boy with a bottle of water.
jxie_flickr8k_56,"[""two children are playing on a swing made out of a tire ."", ""Two children swing around in a tire swing at a park ."", ""Two children swinging on a tire swing ."", ""two small children happily playing on a tire swing ."", ""Two small children wearing blue jeans enjoy swinging in a tire swing .""]",two boys playing in a park,two boys playing in a park,two boys playing in a park,two boys playing in a park,two boys playing in a park
jxie_flickr8k_264,"[""A group of men are changing the shells on a cannon ."", ""Group of men loading a cannon ."", ""several men loading a metal cannon"", ""Several people work on a machine ."", ""Some men try to load what looks like a cannon .""]",a man making a cup of coffee.,a person putting a pair of shoes on to a machine.,a man is putting a cup on a coffee machine.,a person putting a cup on a machine,a person putting a cup on a machine
jxie_flickr8k_772,"[""A man and a dog running across shallow water on a beach ."", ""A man and his dog walk on the ice of a frozen pond ."", ""A man dressed in winter clothes is on the beach wiht a dog ."", ""a man in a brown jacket is running on a sandy bay towards a dog that is in turn running towards him ."", ""The backview of a man dressed up in a jacket and a dog running towards him .""]",a man walking a dog on a frozen lake.,a man and a dog walking across a frozen lake.,a man and a dog walking across a frozen lake.,a man and a dog walking across a frozen pond.,a man and a dog walking across a frozen pond.
jxie_flickr8k_185,"[""a boy enjoys a rain shower ."", ""A boy in bathing trunks is standing under a water shower ."", ""A boy in swim trunks screams while being sprayed with water ."", ""A boy is squinting while being sprayed with water from a flat ground surface ."", ""A boy wearing black swimming trunks is standing in a fountain .""]",a boy playing in the water,a boy playing in the rain,a boy playing in the rain,a boy playing in the rain,a boy playing in the rain
jxie_flickr8k_466,"[""A dark-haired young woman , number 528 , wearing red and white , is preparing to throw a shot put ."", ""A girl is curling in a competition ."", ""Athletic woman in red and white uniform throwing shot put ."", ""A woman is about to race around a track ."", ""Shotput athlete getting ready to throw .""]",a girl in a race.,"person, competes in the event.",a girl in a red shirt and white shirt is talking on a cell phone,a girl in a red suit,a girl in a red suit
jxie_flickr8k_789,"[""A man in a rowboat is rowing across blue water ."", ""A man is rowing in a small boat called Neptuno"", ""A man rows his boat below ."", ""Man rowing a boat ."", ""The fisherman paddles in his to a new spot .""]",a man rowing a boat on a river.,a man rowing a boat on the water.,a man rowing a boat on the water.,a man rowing a boat on the water.,a man rowing a boat on the water.
jxie_flickr8k_174,"[""A couple are walking along a street while the man carries a toddler over one shoulder ."", ""A couple is walking away while an infant sleeps on the father 's shoulders ."", ""A man carries a child while he walks with a woman ."", ""A man holding a sleeping child walks with a woman ."", ""The man walking next to the woman up the steps has a sleeping child on his shoulder .""]",a father carries his daughter in the street of the city,a father carries his daughter in the street,a little girl walking down the street in the city,a father carries his daughter on his shoulders,a father carries his daughter on his shoulders
jxie_flickr8k_150,"[""A brown dog jumping over a obstacle ."", ""A dark brown dog wearing a yellow harness is jumping over a hurdle in an agility competition ."", ""A dark dog is competing in a dog show competition ."", ""Brown dog with yellow harness jumping over white obstacle"", ""Dog jumping a hurdle in a sporting event .""]",a dog jumping over a hurdle.,a dog jumping over a white and red obstacle.,a brown dog jumping over a white fence.,a dog jumping over a white and red obstacle.,a dog jumping over a white and red obstacle.
jxie_flickr8k_741,"[""A man and a woman wearing a head covering turn the video camera on themselves ."", ""A man and woman pose for the video camera that they are holding ."", ""A man in a brown sweater and a woman smile for their video camera ."", ""A smiling couple with a camcorder ."", ""Woman standing with man holding a camcorder and smiling into lens .""]",a man and a woman smiling.,a man and woman smiling for the camera.,a man and a woman smiling.,a man and woman smiling for the camera.,a man and woman smiling for the camera.
jxie_flickr8k_113,"[""A black dog and a tan dog fighting ."", ""A black dog and a white dog are wrestling on the ground ."", ""A black dog bites a white dog while standing on the sand ."", ""two dogs fight ."", ""Two dogs , one white and one black , play with each other in the sand .""]",two dogs playing with each other.,two dogs playing with each other.,two dogs playing with each other.,two dogs playing with each other.,two dogs playing with each other.
jxie_flickr8k_428,"[""A black dog is slowly crossing a fallen log that is outstretched over a stream of water ."", ""A dog crossing a river on a bridge made of a fallen tree ."", ""A dog walks on a log across a small river ."", ""The black dog is walking along a tree trunk bridge over water ."", ""The dog walks across the stream on a fallen log .""]",a dog walking across a river.,a dog walking across a log in the water.,a dog walking across a river.,a dog walking across a river.,a dog walking across a river.
jxie_flickr8k_965,"[""a brown dog about to jump on a smaller black and tan dog"", ""Large dog playing with smaller dog"", ""Two dogs are playing together outside ."", ""Two dogs playing in the grass with an adult nearby ."", ""Two dogs playing with each other .""]",a dog and a person in a park,a dog and a person,a dog and a person walking on a leash,a dog and a person,a dog and a person
jxie_flickr8k_18,"[""A big dog chases a little dog on the grass ."", ""A black dog is chasing a smaller brown dog over grass ."", ""The large brown dog is chasing after the little brown dog ."", ""Two brown dogs run through the grass together ."", ""two dogs play in the grass .""]",two dogs playing in a field.,two dogs playing in a field.,two dogs running in a field.,two dogs playing in a field.,two dogs playing in a field.
jxie_flickr8k_189,"[""A pack of black dogs running in grass ."", ""Five black dogs run in a field ."", ""Five black dogs running across the grass ."", ""Many black dogs run in a grassy area ."", ""The black dogs are running in a grassy field""]",black dogs running in a field,black dogs running in a field,black dogs running in a field,black dogs running in a field,black dogs running in a field
jxie_flickr8k_414,"[""Two men are standing beside a sign that says \"" Jesus or hell \"" ."", ""Two men are standing in front of a protest sign resting on a red electric box ."", ""Two men are talking on the street ; one is pointing at a sign that says \"" Jesus or Hell \"" beneath a red box , and the other is standing there listening ."", ""Two men discuss a sign that says \"" Jesus or Hell \"" ."", ""Two men talking by a red box and a poster""]",a man standing next to a sign that says jesus.,a man standing next to a sign,a man standing next to a sign,a man standing next to a sign,a man standing next to a sign
jxie_flickr8k_589,"[""A child playing in the beach sand during a sunset ."", ""A child playing in the sand of a beach with the sun low on the horizon ."", ""A person on the beach beside the ocean at sunset ."", ""Image of a sunset at the beach with a kid in the foreground ."", ""Someone paddles a small boat across a still lake at sunset .""]",a dog sitting on the beach at sunset.,a little boy playing in the sand at the beach,a little boy playing in the sand at sunset,a little boy playing in the sand at the beach,a little boy playing in the sand at the beach
jxie_flickr8k_666,"[""a dog jumps over a fence , while two other dogs watch ."", ""One dog , apparently standing on the edge of a fence , confronts three others in a backyard setting ."", ""The dog is on the fence"", ""Three dogs are in a fenced yard and one is jumping off the fence ."", ""Two pitbulls fighting , one standing on top of a fence .""]",a dog jumping over a fence.,a dog jumping over a fence,a dog jumping over a fence.,a dog jumping over a fence,a dog jumping over a fence
jxie_flickr8k_763,"[""A black dog jumping ."", ""A brown dog is jumping on its hind legs ."", ""a brown dog is leaping into the air in front of a wooden structure in a pine forest ."", ""a brown dog jumping off the ground in the woods"", ""The dog leaps into the air in a field .""]",a dog jumping in the air to catch a frisbee.,a dog jumping in the air to catch a frisbee.,a dog jumping in the air,a dog jumping in the air,a dog jumping in the air
jxie_flickr8k_221,"[""a couple walking down the street carrying bags"", ""A man and a woman are carrying bags down an empty street ."", ""A man and a woman walking down a street , carrying luggage ."", ""Two people carrying various items walking down a city street ."", ""Two people carry their bags down an unpaved road .""]",a man and a woman walking down a street.,a man and a woman walking down a street.,a street with a man and woman walking by a flag,a street with a flag flying over the city.,a street with a flag flying over the city.
jxie_flickr8k_586,"[""A dog walks down the dirt road as a person follows ."", ""A tan dog walks ahead of a man in a dry area ."", ""A white dog is going for a walk through the desert with its owner ."", ""A yellow dog is walking along a mountain trail"", ""Dog in desert area with distant man in background .""]",a man walking a dog on a trail,a man walking a dog on a trail,a man walking a dog on a dirt road.,a man walking a dog on a dirt road,a man walking a dog on a dirt road
