language,backend,source_en,reference,hypothesis,elapsed_seconds,status
hi,indic_nllb,"In remote locations, without cell phone coverage, a satellite phone may be your only option.","दूरस्थ स्थानों में, सेल फ़ोन कवरेज नहीं होने से, एक सेटेलाइट फ़ोन आपका एकमात्र विकल्प हो सकता है.","दूरस्थ स्थानों में, जहां सेल फोन की कवरेज नहीं है, सैटेलाइट फोन आपका एकमात्र विकल्प हो सकता है।",0.460773229598999,ok
hi,indic_nllb,Sleep interruption is the process of purposefully awakening during your normal sleep period and falling asleep a short time later (10–60 minutes).,नींद की रुकावट आपके सामान्य नींद की अवधि के दौरान आपको जगाने की प्रक्रिया है और थोड़े समय बाद (10-60 मिनट) यह चली जाती है ।,नींद में विराम लेना यह प्रक्रिया है कि आप सामान्य नींद के दौरान जानबूझकर जागते हैं और थोड़ी देर बाद (1060 मिनट) सो जाते हैं।,0.5745642185211182,ok
hi,indic_nllb,"Goats seem to have been first domesticated roughly 10,000 years ago in the Zagros Mountains of Iran.","माना जाता है कि ईरान की ज़ाग्रोस पहाड़ियों में 10,000 साल पहले बकरी पालन की शुरुआत हुई थी.","ऐसा लगता है कि बकरियों को पहली बार लगभग 10,000 साल पहले ईरान के ज़ग्रोस पर्वत में पालतू बनाया गया था।",0.491025447845459,ok
hi,indic_nllb,"The main Amazon River is 6,387 km (3,980 miles). It collects water from thousands of smaller rivers.","मुख्य आमेजन नदी 6,387 किमी (3,980 मील) लंबी है। इसमें हजारों छोटी नदियां मिलती हैं।","अमेज़ॅन नदी की मुख्य लंबाई 6,387 किमी है। यह हजारों छोटी नदियों से पानी एकत्र करती है।",0.4613914489746094,ok
hi,indic_nllb,Segregation and recombination shuffle variation back and forth between the two pools with each generation.,अलगाव और पुनर्संयोजन भिन्नता प्रत्येक पीढ़ी के साथ दो पूलों के बीच आगे-पीछे होती रहती है।,अलग और पुनर्मिलन प्रत्येक पीढ़ी के साथ दो पूल के बीच आगे-पीछे भिन्नता को मिश्रित करता है।,0.5231974124908447,ok
hi,indic_nllb,"Hershey and Chase used phages, or viruses, to implant their own DNA into a bacterium.",हर्शे और चेज़ ने अपने डीएनए को एक जीवाणु में डालने के लिए फेज या वायरस का इस्तेमाल किया.,हर्शी और चेस ने बैक्टीरिया में अपने डीएनए को लगाने के लिए फैज या वायरस का इस्तेमाल किया।,0.5187170505523682,ok
hi,indic_nllb,Commons Administrator Adam Cuerden expressed his frustration over the deletions when he spoke to Wikinews last month.,"कॉमन्स के प्रशासक एडम क्यूर्डन ने पिछले महीने जब विकिन्यूज़ से बात की थी, तब उन्होंने अपमार्जन पर अपनी निराशा व्यक्त की थी.",कॉमन्स प्रशासक एडम क्यूर्डेन ने पिछले महीने विकिन्यूज से बात करते हुए हटाने पर अपनी निराशा व्यक्त की।,0.583695650100708,ok
hi,indic_nllb,Plans for vaccines to be delivered to the historically most affected areas this year were delayed due to lack of funds and low prioritisation relative to other diseases.,टीकों को इस वर्ष ऐतिहासिक रूप से सबसे अधिक प्रभावित क्षेत्रों में पहुँचाने में धन की कमी और अन्य बीमारियों के सापेक्ष कम प्राथमिकता के कारण देरी हुई।,इस वर्ष ऐतिहासिक रूप से सबसे अधिक प्रभावित क्षेत्रों में टीकों की डिलिवरी की योजनाएं धन की कमी और अन्य बीमारियों के मुकाबले कम प्राथमिकता के कारण देरी से हुईं।,0.7023482322692871,ok
hi,indic_nllb,"For some, understanding something about how aircraft work and what happens during a flight may help to overcome a fear which is based on the unknown or on not being in control.","कुछ के लिए, विमान के काम करने के तरीके और उड़ान के दौरान क्या होता है, इस बारे में समझना एक ऐसे डर को दूर करने में मदद कर सकता है जो अज्ञात या नियंत्रण में न होने पर आधारित है.","कुछ लोगों के लिए, विमान के कामकाज और उड़ान के दौरान क्या होता है, इसके बारे में कुछ समझना उन डरों पर विजय प्राप्त करने में मदद कर सकता है जो अज्ञात या नियंत्रण में नहीं होने पर आधारित हैं।",0.8511600494384766,ok
hi,indic_nllb,"As the areas are sparsely populated, and light pollution therefore often not a problem, you will also be able to enjoy the stars.","क्षेत्र में जनसंख्या के बहुत कम होने और अक्सर प्रकाश प्रदूषण की समस्या म होने के कारण, आप सितारों का भी आनंद ले पाएँगे।","चूंकि ये क्षेत्र कम आबादी वाले हैं और प्रकाश प्रदूषण अक्सर कोई समस्या नहीं होता है, इसलिए आप सितारों का भी आनंद ले पाएंगे।",0.5797982215881348,ok
hi,indic_nllb,Vatican City uses Italian in its legislation and official communications.,वैटिकन सिटी अपने कानूनी और आधिकारिक संचार में इतालवी का उपयोग करता है।,वेटिकन सिटी अपने कानून और आधिकारिक संचार में इतालवी का उपयोग करता है।,0.33931827545166016,ok
hi,indic_nllb,Subcultures bring together like-minded individuals who feel neglected by societal standards and allow them to develop a sense of identity.,उपसंस्कृति समान विचारधारा वाले व्यक्तियों को साथ लाती है जो सामाजिक मानकों में अपने आप को पिछड़ा हुआ महसूस करते हैं और उन्हें अपनी पहचान की भावना विकसित करने की अनुमति देते हैं।,उपसंस्कृति एक साथ ऐसे समान विचारधारा वाले व्यक्तियों को लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर लाकर,8.177303314208984,ok
hi,indic_nllb,The scenes are displayed on the pyramids and the different pyramids are lit up.,पिरामिडों पर दृश्य प्रदर्शित किए जाते हैं और विभिन्न पिरामिड दिखाये जाते हैं,पिरामिड पर दृश्य प्रदर्शित किए जाते हैं और विभिन्न पिरामिडों को रोशनी दी जाती है।,0.3921329975128174,ok
hi,indic_nllb,It is reported that some 9400 homes in the region are without water and approximately 100 without electricity.,एक रिपोर्ट मे बताया गया है कि इस क्षेत्र 9400 घर पानी की कमी से जूझ रहे है और लगभग 100 बिजली की कमी से ।,बताया जाता है कि इस क्षेत्र में लगभग 9400 घरों में पानी और लगभग 100 घरों में बिजली नहीं है।,0.41933441162109375,ok
hi,indic_nllb,"He added that ""they should not, however, be asked to take on obligations that go beyond their development stage, responsibility and capabilities.""","उन्होंने आगे कहा कि “हालाँकि, उन्हें ऐसे दायित्व लेने के लिए नहीं कहा जाना चाहिए जो उनके विकास के चरण, जिम्मेदारी और क्षमताओं से परे हैं.” ","उन्होंने कहा कि ""लेकिन उन्हें ऐसे दायित्वों को स्वीकार करने के लिए नहीं कहा जाना चाहिए जो उनके विकास के चरण, जिम्मेदारी और क्षमताओं से परे हों।""",0.5959281921386719,ok
hi,indic_nllb,Congress began funding the obscenity initiative in fiscal 2005 and specified that the FBI must devote 10 agents to adult pornography.,कांग्रेस ने वित्त वर्ष 2005 में अश्लीलता के लिए निधिकरण शुरू किया और निर्दिष्ट किया कि एफबीआई को वयस्क पोर्नोग्राफी के लिए 10 एजेंटों को समर्पित करना चाहिए।,कांग्रेस ने 2005 में अश्लीलता पहल को वित्त पोषण करना शुरू किया और कहा कि एफबीआई को वयस्क अश्लीलता के लिए 10 एजेंटों को समर्पित करना चाहिए।,0.6265125274658203,ok
hi,indic_nllb,"Famous singers across the country presented bhajans, or devotional songs, to Shri Shyam's feet.",देशभर के लोकप्रिय गायक श्री श्याम के चरणों में भजन या भक्तिगीत पेश करते हैं.,देश भर के प्रसिद्ध गायकों ने श्री श्याम के चरणों में भजन या भक्ति गीत प्रस्तुत किए।,0.4102771282196045,ok
hi,indic_nllb,It is Martelly's fifth CEP in four years.,चार साल में यह मार्टेली का पांचवां सीईपी है।,यह चार साल में मार्टेलि के पांचवें सीईपी है।,0.2963449954986572,ok
hi,indic_nllb,"France is the seventh country in the European Union to suffer this virus; following Austria, Germany, Slovenia, Bulgaria, Greece and Italy.","ऑस्ट्रेलिया, जर्मनी, स्लोवेनिया, बुल्गारिया, ग्रीस और इटली के बाद फ़्रांस यूरोपियन संघ का सातवाँ देश है, जो इस वायरस की मार झेल रहा है.","फ्रांस यूरोपीय संघ में इस वायरस से पीड़ित सातवां देश है, यह ऑस्ट्रिया, जर्मनी, स्लोवेनिया, बुल्गारिया, ग्रीस और इटली के बाद है।",0.6533548831939697,ok
hi,indic_nllb,"During the 1976 selections he advised Carter on foreign policy, then served as National Security Advisor (NSA) from 1977 to 1981, succeeding Henry Kissinger.","1976 चयन के दौरान उन्होंने विदेश नीति पर कार्टर को सलाह दी, फिर 1977 से लेकर 1981 तक राष्ट्रीय सुरक्षा सलाहकार (एनएसए) के रूप में हेनरी किसिंजर को सेवा दी.","1976 के चुनावों के दौरान उन्होंने विदेश नीति पर कार्टर को सलाह दी, फिर 1977 से 1981 तक राष्ट्रीय सुरक्षा सलाहकार (एनएसए) के रूप में कार्य किया, जो हेनरी किस्सिंजर का उत्तराधिकारी था।",0.8183448314666748,ok
kn,indic_nllb,British pounds will generally be accepted anywhere in the islands and within Stanley credit cards and United States dollars are also often accepted.,"ಬ್ರಿಟಿಷ್ ಪೌಂಡ್‌ಗಳು, ಸ್ಟ್ಯಾನ್ಲೀ ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್‌ಗಳು ಮತ್ತು ಯುನೈಟೆಡ್ ಸ್ಟೇಟ್ಸ್ ಡಾಲರ್‌ಗಳು ಸಾಮಾನ್ಯವಾಗಿ ದ್ವೀಪಗಳಲ್ಲಿ ಎಲ್ಲಾ ಕಡೆ ಚಲಾವಣೆಯಲ್ಲಿವೆ.",ಬ್ರಿಟಿಷ್ ಪೌಂಡ್ ಸಾಮಾನ್ಯವಾಗಿ ದ್ವೀಪಗಳಲ್ಲಿ ಎಲ್ಲಿಯಾದರೂ ಸ್ವೀಕಾರಾರ್ಹವಾಗಿರುತ್ತದೆ ಮತ್ತು ಸ್ಟ್ಯಾನ್ಲೆ ಕ್ರೆಡಿಟ್ ಕಾರ್ಡ್ಗಳು ಮತ್ತು ಯುನೈಟೆಡ್ ಸ್ಟೇಟ್ಸ್ ಡಾಲರ್ಗಳಲ್ಲಿಯೂ ಸಾಮಾನ್ಯವಾಗಿ ಸ್ವೀಕಾರಾರ್ಹವಾಗಿರುತ್ತವೆ.,0.8512308597564697,ok
kn,indic_nllb,"One was sent to George Washington on July 6, who had it read to his troops in New York on July 9. A copy reached London on August 10.","ಒಂದನ್ನು ಜುಲೈ 6 ರಂದು ಜಾರ್ಜ್ ವಾಷಿಂಗ್ಟನ್‌ಗೆ ಕಳುಹಿಸಲಾಗಿದ್ದು, ಅವರು ಅದನ್ನು ಜುಲೈ 9 ರಂದು ನ್ಯೂಯಾರ್ಕ್‌ನಲ್ಲಿ ತನ್ನ ಪಡೆಗೆ ಓದಿದರು. ಆಗಸ್ಟ್‌ 10 ರಂದು ಒಂದು ಪ್ರತಿಯು ಲಂಡನ್‌ ತಲುಪಿದೆ.",ಜುಲೈ 6ರಂದು ಜಾರ್ಜ್ ವಾಷಿಂಗ್ಟನ್ ಅವರಿಗೆ ಒಂದು ಪುಸ್ತಕವನ್ನು ಕಳುಹಿಸಲಾಯಿತು. ಜುಲೈ 9ರಂದು ನ್ಯೂಯಾರ್ಕ್ನಲ್ಲಿ ತನ್ನ ಸೈನಿಕರಿಗೆ ಅದನ್ನು ಓದಲು ಕಳುಹಿಸಿದನು. ಆಗಸ್ಟ್ 10ರಂದು ಒಂದು ಪ್ರತಿಯನ್ನು ಲಂಡನ್ಗೆ ತಲುಪಿತು.,0.8863539695739746,ok
kn,indic_nllb,"Montevideo is in the subtropics; in the summer months, temperatures above +30°C are common.","ಮಾಂಟೆವಿಡಿಯೊ ಪ್ರದೇಶವು ಉಪೋಷ್ಣವಲಯದಲ್ಲಿದೆ; ಬೇಸಿಗೆ ಕಾಲದಲ್ಲಿ, ತಾಪಮಾನವು +30°C ಹೆಚ್ಚಾಗಿರುವುದು ಸಾಮಾನ್ಯ.",ಮಾಂಟೆವಿಡಿಯೊ ಉಪ ಉಷ್ಣವಲಯದಲ್ಲಿದೆ; ಬೇಸಿಗೆಯ ತಿಂಗಳುಗಳಲ್ಲಿ +30°C ಗಿಂತ ಹೆಚ್ಚಿನ ತಾಪಮಾನಗಳು ಸಾಮಾನ್ಯವಾಗಿದೆ.,0.5343894958496094,ok
kn,indic_nllb,He is speculated to make a run for president in 2016.,ಅವರು 2016ರಲ್ಲಿನ  ಅಧ್ಯಕ್ಷೀಯ ಸ್ಥಾನಕ್ಕೆ ಸ್ಪರ್ಧಿಸಲಿದ್ದಾರೆ ಎಂದು ಅಂದಾಜಿಸಲಾಗಿದೆ.,2016ರಲ್ಲಿ ಅವರು ಅಧ್ಯಕ್ಷ ಸ್ಥಾನಕ್ಕೆ ಸ್ಪರ್ಧಿಸುವ ಸಾಧ್ಯತೆ ಇದೆ ಎಂದು ಊಹಿಸಲಾಗಿದೆ.,0.26288414001464844,ok
kn,indic_nllb,"This is the place the British colonisers took as their own and so if you are looking for evidence of the territory's colonial past, this is a good place to start.","ಬ್ರಿಟಿಷ್ ವಸಾಹತುಶಾಹಿಗಳು ತಮ್ಮದಾಗಿಸಿಕೊಂಡಿರುವ ಸ್ಥಳ ಇದು ಮತ್ತು ಭೂಭಾಗದ ವಸಾಹತು ಇತಿಹಾಸಕ್ಕೆ ಸಾಕ್ಷಿಯನ್ನು ನೀವು ಹುಡುಕಲು ನೀವು ನೋಡುತ್ತಿದ್ದರೆ, ಆರಂಭಿಸಲು ಇದು ಉತ್ತಮ ಸ್ಥಳವಾಗಿದೆ.","ಇದು ಬ್ರಿಟಿಷ್ ವಸಾಹತುಗಾರರು ತಮ್ಮದೇ ಆದ ಸ್ಥಳವಾಗಿದೆ ಮತ್ತು ಆದ್ದರಿಂದ ನೀವು ಪ್ರದೇಶದ ವಸಾಹತುಶಾಹಿ ಹಿಂದಿನ ಸಾಕ್ಷ್ಯಗಳನ್ನು ಹುಡುಕುತ್ತಿದ್ದರೆ, ಇದು ಪ್ರಾರಂಭಿಸಲು ಉತ್ತಮ ಸ್ಥಳವಾಗಿದೆ.",0.6703717708587646,ok
kn,indic_nllb,"The qualities that determine a subculture as distinct may be linguistic, aesthetic, religious, political, sexual, geographical, or a combination of factors.","ಉಪಸಂಸ್ಕೃತಿಯನ್ನು ವಿಭಿನ್ನವೆಂದು ನಿರ್ಧರಿಸುವ ಗುಣಗಳೆಂದರೆ ಭಾಷೆ, ಸೌಂದರ್ಯ, ಧಾರ್ಮಿಕತೆ, ರಾಜಕೀಯ, ಲೈಂಗಿಕತೆ, ಭೌಗೋಳಿಕ ಪ್ರದೇಶ ಅಥವಾ ಅಂಶಗಳ ಸಂಯೋಜನೆಯಾಗಿರಬಹುದು.","ಒಂದು ಉಪಸಂಸ್ಕೃತಿಯನ್ನು ಪ್ರತ್ಯೇಕವಾಗಿ ನಿರ್ಧರಿಸುವ ಗುಣಗಳು ಭಾಷಾ, ಸೌಂದರ್ಯ, ಧಾರ್ಮಿಕ, ರಾಜಕೀಯ, ಲೈಂಗಿಕ, ಭೌಗೋಳಿಕ ಅಥವಾ ಅಂಶಗಳ ಸಂಯೋಜನೆಯಾಗಿರಬಹುದು.",0.7238121032714844,ok
kn,indic_nllb,"Aristotle, a philosopher, theorised that everything is made up of a mixture of one or more of four elements. They were earth, water, air, and fire.","ಅರಿಸ್ಟಾಟಲ್ ಎಂಬ ತತ್ವಜ್ಞಾನಿ, ಜಗತ್ತಿನಲ್ಲಿ ಎಲ್ಲವೂ ನಾಲ್ಕು ಅಂಶಗಳಲ್ಲಿ ಯಾವುದಾದರೊಂದು ಅಂಶದಿಂದ ಸೃಷ್ಟಿಸಲ್ಪಟ್ಟಿದೆ ಎಂದು ಸಿದ್ದಾಂತವನ್ನು ಮಂಡಿಸಿದರು. ನಾಲ್ಕು ಪ್ರಮುಖ ಮೂಲಾಂಶಗಳೆಂದರೆ ಭೂಮಿ, ನೀರು, ಗಾಳಿ ಮತ್ತು ಬೆಂಕಿ.","ಅರಿಸ್ಟಾಟಲ್, ತತ್ವಜ್ಞಾನಿ, ಭೂಮಿಯ, ನೀರು, ಗಾಳಿ ಮತ್ತು ಬೆಂಕಿಯಂತಹ ನಾಲ್ಕು ಅಂಶಗಳ ಮಿಶ್ರಣದಿಂದ ಎಲ್ಲವನ್ನೂ ಮಾಡಲಾಗಿದೆ ಎಂದು ಸಿದ್ಧಾಂತವನ್ನು ರೂಪಿಸಿದರು.",0.6957700252532959,ok
kn,indic_nllb,The term bug is used by entomologists in a formal sense for this group of insects.,ಕೀಟಶಾಸ್ತ್ರಜ್ಞರು 'ಬಗ್' ಎಂಬ ಹೆಸರನ್ನು  ಶಾಸ್ತ್ರೋಕ್ತ ವಾಗಿ ಕೀಟಗಳ ಈ  ಗುಂಪಿಗೆ ಬಳಸುತ್ತಾರೆ.,ಈ ಕೀಟಗಳ ಗುಂಪಿಗೆ ಕೀಟಶಾಸ್ತ್ರಜ್ಞರು ಔಪಚಾರಿಕ ಅರ್ಥದಲ್ಲಿ ಕೀಟ ಪದವನ್ನು ಬಳಸುತ್ತಾರೆ.,0.43445706367492676,ok
kn,indic_nllb,The Report is highly critical of almost every aspect of the present policy of the Executive towards Iraq and it urges an immediate change of direction.,ಇರಾಕ್ ಬಗೆಗೆ ಕಾರ್ಯನಿರ್ವಾಹಕರ ಪ್ರಸ್ತುತ ನೀತಿಯ ಪ್ರತಿಯೊಂದು ಅಂಶಗಳ ಬಗ್ಗೆ ವರದಿಯು ಹೆಚ್ಚು ವಿಮರ್ಶಾತ್ಮಕವಾಗಿದೆ ಮತ್ತು ಇದು ನಿರ್ದೇಶನಗಳ ತಕ್ಷಣದ ಬದಲಾವಣೆಯನ್ನು ಒತ್ತಾಯಿಸುತ್ತದೆ.,ಈ ವರದಿಯು ಇರಾಕ್ ಕಡೆಗೆ ಕಾರ್ಯಕಾರಿ ಸಮಿತಿಯ ಪ್ರಸ್ತುತ ನೀತಿಯ ಬಹುತೇಕ ಎಲ್ಲ ಅಂಶಗಳ ಬಗ್ಗೆ ತೀವ್ರವಾಗಿ ಟೀಕೆ ಮಾಡುತ್ತಿದೆ ಮತ್ತು ತಕ್ಷಣವೇ ನಿರ್ದೇಶನ ಬದಲಾವಣೆಯನ್ನು ಒತ್ತಾಯಿಸುತ್ತದೆ.,0.6787073612213135,ok
kn,indic_nllb,Posted speed limits are noticeably lower than in previous and subsequent sections — commonly 35-40 mph (56-64 km/h) — and strict obedience to them is even more important than otherwise.,ನಿಗದಿಪಡಿಸಿದ ವೇಗದ ಮಿತಿಗಳು ಹಿಂದಿನ ಮತ್ತು ನಂತರದ ವಿಭಾಗಗಳಿಗಿಂತ ಗಮನಾರ್ಹವಾಗಿ ಕಡಿಮೆಯಿದೆ - ಸಾಮಾನ್ಯವಾಗಿ 35-40 ಮೈಲಿಗಳು ಪ್ರತಿ ಘಂಟೆಗೆ (ಗಂಟೆಗೆ 56-64 ಕಿಮೀ) - ಮತ್ತು ಅವುಗಳಿಗೆ ಕಟ್ಟುನಿಟ್ಟಾದ ಪಾಲನೆಯು ಹೆಚ್ಚು ಮುಖ್ಯವಾಗಿದೆ. ,ಪ್ರಕಟವಾದ ವೇಗ ಮಿತಿಗಳು ಹಿಂದಿನ ಮತ್ತು ನಂತರದ ವಿಭಾಗಗಳಿಗಿಂತ ಗಮನಾರ್ಹವಾಗಿ ಕಡಿಮೆಯಾಗಿವೆ  ಸಾಮಾನ್ಯವಾಗಿ 35-40 mph (56-64 km/h)  ಮತ್ತು ಅವುಗಳಿಗೆ ಕಟ್ಟುನಿಟ್ಟಾದ ವಿಧೇಯತೆ ಇತರಕ್ಕಿಂತಲೂ ಹೆಚ್ಚು ಮುಖ್ಯವಾಗಿದೆ.,0.9317018985748291,ok
kn,indic_nllb,"In remote locations, without cell phone coverage, a satellite phone may be your only option.","ರಿಮೋಟ್ ಸ್ಥಳಗಳಲ್ಲಿ, ಸೆಲ್‌ ಫೋನ್ ಕವರೇಜ್ ಇಲ್ಲದಿದ್ದಲ್ಲಿ ಸ್ಯಾಟಲೈಟ್ ಫೋನ್‌ ನಿಮ್ಮ ಏಕೈಕ ಆಯ್ಕೆಯಾಗಿರಬಹುದು.","ದೂರದ ಸ್ಥಳಗಳಲ್ಲಿ, ಸೆಲ್ ಫೋನ್ ರಕ್ಷಣೆ ಇಲ್ಲದಿದ್ದರೂ, ಉಪಗ್ರಹ ಫೋನ್ ನಿಮ್ಮ ಏಕೈಕ ಆಯ್ಕೆಯಾಗಿರಬಹುದು.",0.4656100273132324,ok
